feature,importance
price_roll_std_3,452.0
y_pct_change_12,279.0
y_roll_std_3,256.0
industrial_production_index_lag_2,238.0
price_pct_change_1,227.0
price_roll_std_12,222.0
price_lag_3,217.0
y_roll_std_6,216.0
industrial_production_index_lag_3,212.0
price_roll_std_6,186.0
y_pct_change_1,181.0
price_lag_2,179.0
industrial_production_index_lag_1,171.0
y_lag_3,160.0
price_lag_6,160.0
price_pct_change_12,151.0
price_lag_4,146.0
y_roll_std_12,146.0
price_lag_5,145.0
y_lag_6,143.0
y_level,106.0
y_lag_12,106.0
cpi_lag_2,101.0
price_lag_1,92.0
price_roll_mean_3,88.0
y_roll_mean_12,62.0
y_roll_mean_3,54.0
y_lag_1,47.0
exrate_zar_usd_lag_2,34.0
exrate_zar_usd_lag_3,33.0
