feature,importance
y_roll_mean_3,0.1819596141576767
y_level,0.15812431275844574
cpi_lag_1,0.11472222208976746
cpi_lag_3,0.10759343951940536
price_roll_mean_3,0.08228487521409988
y_roll_mean_12,0.07138626277446747
industrial_production_index_lag_1,0.05440357327461243
y_lag_3,0.05185466259717941
exrate_zar_usd_lag_3,0.03681288659572601
cpi_lag_2,0.025658762082457542
price_lag_2,0.01852555200457573
price_lag_6,0.017182396724820137
exrate_zar_usd_lag_2,0.014447658322751522
y_roll_mean_6,0.013732380233705044
exrate_zar_usd_lag_1,0.010286509990692139
price_roll_mean_6,0.00585845485329628
price_roll_mean_12,0.004713020753115416
price_lag_1,0.0047080544754862785
y_lag_6,0.0032256105914711952
y_lag_12,0.0024507264606654644
price_pct_change_12,0.0019343163585290313
month_3,0.0018511154921725392
industrial_production_index_lag_2,0.0016947317635640502
price_roll_std_6,0.001611768384464085
y_roll_std_12,0.0012496638810262084
price_roll_std_3,0.0010400897590443492
industrial_production_index_lag_3,0.0010284490417689085
month_11,0.0009177278843708336
price_lag_5,0.0009088494116440415
price_lag_4,0.0008339498890563846
