feature,importance
y_pct_change_1,372.0
y_roll_std_3,277.0
industrial_production_index_lag_2,250.0
y_level,249.0
y_roll_std_6,245.0
price_roll_std_3,237.0
y_lag_3,220.0
industrial_production_index_lag_3,219.0
price_roll_std_12,215.0
y_lag_12,212.0
price_lag_4,198.0
y_lag_6,195.0
y_roll_std_12,191.0
y_pct_change_12,169.0
industrial_production_index_lag_1,155.0
price_roll_mean_3,155.0
price_pct_change_12,152.0
price_lag_2,149.0
price_pct_change_1,128.0
y_roll_mean_3,121.0
y_roll_mean_6,118.0
y_lag_1,108.0
price_roll_std_6,103.0
price_roll_mean_12,78.0
price_roll_mean_6,70.0
exrate_zar_usd_lag_2,69.0
price_lag_6,68.0
price_lag_1,66.0
price_lag_3,30.0
exrate_zar_usd_lag_1,22.0
