feature,importance
price_pct_change_12,456.0
y_roll_std_3,399.0
y_pct_change_1,368.0
price_roll_std_6,342.0
price_pct_change_1,296.0
price_roll_std_12,294.0
y_pct_change_12,268.0
price_roll_std_3,239.0
y_roll_std_6,234.0
industrial_production_index_lag_2,199.0
price_lag_4,195.0
y_lag_12,185.0
y_roll_std_12,180.0
price_lag_6,153.0
price_lag_5,151.0
price_roll_mean_3,148.0
y_level,148.0
industrial_production_index_lag_1,128.0
price_lag_3,126.0
price_lag_2,121.0
y_lag_6,116.0
y_roll_mean_6,97.0
y_roll_mean_12,72.0
exrate_zar_usd_lag_1,53.0
price_lag_1,50.0
industrial_production_index_lag_3,47.0
y_lag_3,46.0
y_lag_1,43.0
exrate_zar_usd_lag_3,35.0
price_roll_mean_12,31.0
