feature,importance
y_lag_6,0.32375656006361286
y_roll_mean_12,0.10901715181699405
exrate_zar_usd_lag_3,0.09335252532612082
y_roll_mean_6,0.07763217823705773
cpi_lag_2,0.06554861829495173
cpi_lag_3,0.05935482775945391
exrate_zar_usd_lag_2,0.04944552617489009
cpi_lag_1,0.03832213397684843
y_roll_mean_3,0.037572740021378344
y_lag_3,0.024856582711616247
y_level,0.022536324186084318
exrate_zar_usd_lag_1,0.021200779008201883
industrial_production_index_lag_1,0.011692364828582574
y_lag_1,0.01149264295717037
y_lag_12,0.007782322017841998
industrial_production_index_lag_3,0.0068377306175698245
price_lag_6,0.005365798028619526
price_roll_mean_12,0.003756705890330559
price_lag_3,0.003685857098702854
price_roll_mean_3,0.003169826256795632
price_roll_mean_6,0.0029081582896658296
industrial_production_index_lag_2,0.002508018230746245
price_lag_2,0.0021726767634948183
price_lag_5,0.002085375921232064
price_pct_change_12,0.0019613501042118164
price_lag_4,0.0018733834459200717
price_lag_1,0.0016959504881412318
price_roll_std_12,0.0013711108119353638
y_pct_change_12,0.001069006053026775
y_roll_std_3,0.0010287982976068305
