feature,importance
exrate_zar_usd_lag_3,0.1381903011076019
exrate_zar_usd_lag_1,0.1213876704333945
y_roll_mean_12,0.09275512648825275
cpi_lag_1,0.07977093397553575
cpi_lag_2,0.07807288046623162
cpi_lag_3,0.0688494009990674
industrial_production_index_lag_2,0.0643019879542887
exrate_zar_usd_lag_2,0.06176464810944251
industrial_production_index_lag_3,0.04390280510713502
y_roll_mean_6,0.03654191706214041
y_lag_6,0.02548509579987429
y_level,0.01701907536705647
month_9,0.0149365893172103
y_lag_12,0.013668734064251292
y_lag_3,0.013664523728777968
y_pct_change_12,0.013125054480536597
industrial_production_index_lag_1,0.010939387407126315
price_roll_std_12,0.009787177572574348
y_lag_1,0.009531155452042323
price_roll_std_6,0.0070051644647695374
y_roll_mean_3,0.006699308287646877
price_lag_5,0.006112602265311941
y_roll_std_6,0.005799653097922363
y_roll_std_3,0.00550052786770875
price_lag_3,0.004968840755552651
price_lag_1,0.004790744369953725
price_pct_change_12,0.004625024754576642
y_pct_change_1,0.004617634749116938
price_roll_std_3,0.004212525508757346
price_lag_4,0.004033514456172167
