feature,importance
y_pct_change_1,376.0
y_roll_std_3,348.0
y_roll_std_6,319.0
y_level,287.0
y_roll_std_12,275.0
y_pct_change_12,272.0
y_lag_12,264.0
y_lag_6,250.0
y_lag_1,220.0
y_lag_3,216.0
price_roll_mean_12,207.0
price_roll_std_12,200.0
y_roll_mean_6,180.0
industrial_production_index_lag_1,174.0
industrial_production_index_lag_2,155.0
y_roll_mean_12,136.0
exrate_zar_usd_lag_3,121.0
y_roll_mean_3,121.0
price_pct_change_12,108.0
cpi_lag_1,90.0
price_lag_6,88.0
industrial_production_index_lag_3,76.0
price_roll_mean_3,69.0
exrate_zar_usd_lag_1,68.0
price_roll_std_6,58.0
exrate_zar_usd_lag_2,41.0
price_roll_std_3,31.0
price_roll_mean_6,28.0
price_lag_4,27.0
price_lag_3,24.0
