feature,importance
price_roll_std_6,334.0
y_lag_6,282.0
y_roll_std_3,259.0
y_pct_change_12,252.0
y_level,248.0
y_pct_change_1,244.0
price_roll_std_12,237.0
price_pct_change_1,231.0
y_roll_mean_6,229.0
y_lag_12,229.0
price_lag_1,207.0
y_roll_mean_3,167.0
industrial_production_index_lag_3,149.0
y_lag_3,143.0
price_pct_change_12,141.0
y_roll_std_12,139.0
price_lag_5,127.0
price_roll_std_3,121.0
price_lag_2,112.0
y_roll_std_6,110.0
price_lag_4,109.0
price_roll_mean_6,100.0
industrial_production_index_lag_1,96.0
price_lag_3,82.0
y_roll_mean_12,80.0
price_lag_6,71.0
industrial_production_index_lag_2,69.0
y_lag_1,52.0
price_roll_mean_12,43.0
price_roll_mean_3,42.0
