feature,importance
price_roll_std_6,322.0
y_pct_change_1,306.0
y_lag_3,300.0
price_pct_change_1,285.0
y_roll_std_3,255.0
price_roll_std_3,251.0
industrial_production_index_lag_3,250.0
y_level,249.0
y_lag_6,240.0
y_roll_std_12,223.0
y_pct_change_12,213.0
price_pct_change_12,199.0
price_roll_std_12,197.0
y_lag_12,195.0
y_roll_std_6,185.0
price_lag_5,179.0
price_lag_3,154.0
industrial_production_index_lag_1,148.0
industrial_production_index_lag_2,136.0
y_lag_1,135.0
exrate_zar_usd_lag_3,117.0
price_lag_2,99.0
y_roll_mean_3,80.0
price_roll_mean_3,65.0
price_lag_1,63.0
y_roll_mean_6,54.0
price_lag_6,53.0
price_roll_mean_12,39.0
cpi_lag_1,31.0
y_roll_mean_12,29.0
